vacancy_id,resume_id,annotator_1_label,annotator_2_label,final_label,comment,selection_bucket,auto_score
V00001,R00059,0,0,0,,borderline,0.161403
V00001,R00010,0,0,0,,borderline,0.158162
V00001,R00046,0,0,0,,borderline,0.157528
V00001,R00031,0,0,0,,borderline,0.157209
V00001,R00033,0,0,0,,borderline,0.15392
V00001,R00038,0,0,0,,borderline,0.1535
V00001,R00028,0,0,0,,random_negative,0.149232
V00001,R00016,0,0,0,,random_negative,0.146484
V00001,R00050,0,0,0,,random_negative,0.146472
V00001,R00022,0,0,0,,random_negative,0.087939
V00001,R00013,0,0,0,,random_negative,0.087327
V00001,R00053,0,0,0,,random_negative,0.081109
V00001,R00048,2,2,2,,top,0.680265
V00001,R00018,2,2,2,,top,0.563179
V00001,R00006,2,2,2,,top,0.534479
V00001,R00063,1,1,1,,top,0.43669
V00001,R00056,1,1,1,,top,0.410841
V00001,R00065,1,1,1,,top,0.368531
V00001,R00054,1,1,1,,top,0.359229
V00001,R00042,1,1,1,,top,0.323777
V00002,R00062,1,1,1,,borderline,0.136393
V00002,R00065,0,0,0,,borderline,0.136018
V00002,R00032,0,0,0,,borderline,0.135982
V00002,R00063,0,0,0,,borderline,0.135393
V00002,R00023,1,1,1,,borderline,0.135222
V00002,R00001,1,1,1,,borderline,0.13506
V00002,R00054,0,0,0,,random_negative,0.129129
V00002,R00059,1,1,1,,random_negative,0.128713
V00002,R00043,0,0,0,,random_negative,0.127124
V00002,R00052,0,0,0,,random_negative,0.12646
V00002,R00014,0,0,0,,random_negative,0.100321
V00002,R00024,0,0,0,,random_negative,0.097746
V00002,R00005,1,1,1,,top,0.566671
V00002,R00009,1,1,1,,top,0.547894
V00002,R00040,2,2,2,,top,0.539037
V00002,R00050,1,1,1,,top,0.519296
V00002,R00016,2,2,2,,top,0.518161
V00002,R00013,1,1,1,,top,0.503783
V00002,R00027,2,2,2,,top,0.503182
V00002,R00033,2,2,2,,top,0.490943
V00003,R00051,1,1,1,,borderline,0.132604
V00003,R00032,0,0,0,,borderline,0.132309
V00003,R00052,0,0,0,,borderline,0.132
V00003,R00002,0,0,0,,borderline,0.129704
V00003,R00030,1,1,1,,borderline,0.128389
V00003,R00054,0,0,0,,borderline,0.128212
V00003,R00039,1,1,1,,random_negative,0.100465
V00003,R00018,0,0,0,,random_negative,0.099868
V00003,R00022,1,1,1,,random_negative,0.098803
V00003,R00057,0,0,0,,random_negative,0.098734
V00003,R00044,1,1,1,,random_negative,0.098651
V00003,R00050,0,0,0,,random_negative,0.095639
V00003,R00025,2,2,2,,top,0.199481
V00003,R00035,1,1,1,,top,0.189944
V00003,R00043,0,0,0,,top,0.189724
V00003,R00063,0,0,0,,top,0.189401
V00003,R00062,0,0,0,,top,0.1842
V00003,R00046,0,0,0,,top,0.156705
V00003,R00017,0,0,0,,top,0.148524
V00003,R00001,2,2,2,,top,0.146364
V00004,R00010,0,0,0,,borderline,0.14267
V00004,R00036,1,1,1,,borderline,0.141936
V00004,R00001,1,1,1,,borderline,0.141931
V00004,R00039,2,2,2,,borderline,0.140187
V00004,R00007,1,1,1,,borderline,0.139405
V00004,R00014,0,0,0,,borderline,0.139376
V00004,R00055,0,0,0,,random_negative,0.081494
V00004,R00041,1,1,1,,random_negative,0.075044
V00004,R00006,1,1,1,,random_negative,0.046489
V00004,R00002,0,0,0,,random_negative,0.039021
V00004,R00065,0,0,0,,random_negative,0.038581
V00004,R00026,0,0,0,,random_negative,0.036508
V00004,R00019,2,2,2,,top,0.510517
V00004,R00013,2,2,2,,top,0.503512
V00004,R00008,2,2,2,,top,0.483401
V00004,R00051,2,2,2,,top,0.427158
V00004,R00056,2,2,2,,top,0.427142
V00004,R00042,1,1,1,,top,0.408398
V00004,R00034,2,2,2,,top,0.399482
V00004,R00020,2,2,2,,top,0.38892
V00005,R00061,1,1,1,,borderline,0.081119
V00005,R00057,1,1,1,,borderline,0.081098
V00005,R00037,1,1,1,,borderline,0.080837
V00005,R00040,1,1,1,,borderline,0.080703
V00005,R00013,1,1,1,,borderline,0.080639
V00005,R00027,1,1,1,,borderline,0.080335
V00005,R00032,0,0,0,,random_negative,0.028158
V00005,R00035,2,2,2,,random_negative,0.025
V00005,R00041,1,1,1,,random_negative,0.024531
V00005,R00059,1,1,1,,random_negative,0.023964
V00005,R00009,1,1,1,,random_negative,0.023475
V00005,R00002,0,0,0,,random_negative,0.021206
V00005,R00003,2,2,2,,top,0.59339
V00005,R00056,2,2,2,,top,0.556382
V00005,R00015,2,2,2,,top,0.529627
V00005,R00049,2,2,2,,top,0.520163
V00005,R00047,2,2,2,,top,0.520121
V00005,R00029,1,1,1,,top,0.517273
V00005,R00042,2,2,2,,top,0.47777
V00005,R00018,2,2,2,,top,0.466904
