resume_id,candidate_id,version_type,title,candidate_text,skills,total_experience_years,last_position,education,specialization,domain,language_level,languages,certifications,location,source_file
R001_ORIG,C001,original,Java Full Stack Developer,"Java full stack developer with 3+ years of experience in backend and frontend development. Worked with Spring Boot, Spring Security, MySQL, MongoDB, REST APIs, JavaScript, HTML and CSS.",Java;Spring Boot;Spring Security;MySQL;MongoDB;REST API;JavaScript;HTML;CSS,5,Backend Java Developer,master,full stack development,backend software development,,English;Hebrew;Russian,,Bat Yam,synthetic_C001_original
R001_ATS,C001,ats_optimized,Backend Java Developer,"Backend Java Developer with 5 years of software development experience. Key skills: Java, Spring Boot, Spring Security, REST API, MySQL, MongoDB, SQL, HTML, CSS, JavaScript. Developed backend services, authentication modules and database integrations.",Java;Spring Boot;Spring Security;REST API;MySQL;MongoDB;SQL;HTML;CSS;JavaScript,5,Backend Java Developer,master,backend java development,backend software development,,English;Hebrew;Russian,,Bat Yam,synthetic_C001_ats
R001_AI,C001,ai_assisted,Senior Java Backend Developer,"Senior Java Backend Developer with experience in RESTful microservices, authentication and database integration. Strong background in Java, Spring Boot, Spring Security, SQL, MySQL, MongoDB, HTML, CSS and JavaScript. Designed and maintained scalable backend services.",Java;Spring Boot;Spring Security;REST API;SQL;MySQL;MongoDB;HTML;CSS;JavaScript,5,Backend Java Developer,master,backend java development,backend software development,,English;Hebrew;Russian,,Bat Yam,synthetic_C001_ai
R001_WEAK,C001,weakly_structured,Software Developer,"Worked on educational and banking systems. Participated in service development, authorization logic, data storage, reporting modules and user-facing pages. Took part in backend and interface-related tasks across several projects.",Java;Spring Boot;Spring Security;REST API;MySQL;MongoDB;JavaScript;HTML;CSS,5,Software Developer,master,software development,software engineering,,English;Hebrew;Russian,,Bat Yam,synthetic_C001_weak
R002_ORIG,C002,original,Senior .Net Developer,"Senior .Net developer with 10+ years of experience in architecture analysis, software design and mentoring. Worked with .Net, ASP.NET, Web API, MSSQL, PostgreSQL, MongoDB, Docker, Azure and AWS.",.NET;ASP.NET;Web API;C#;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS,10,Senior Software Developer,specialist,.net development,.net software development,,English;Russian,Programming in C#,Petah-Tikva,synthetic_C002_original
R002_ATS,C002,ats_optimized,Senior .Net Backend Developer,"Senior .Net Backend Developer with 10+ years of experience. Key skills: .NET, C#, ASP.NET, Web API, MSSQL, PostgreSQL, MongoDB, Docker, Azure, AWS. Experience in backend services, microservices and enterprise software delivery.",.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS,10,Senior Software Developer,specialist,.net backend development,.net software development,,English;Russian,Programming in C#,Petah-Tikva,synthetic_C002_ats
R002_AI,C002,ai_assisted,Lead .Net Developer,"Lead .Net Developer with strong experience in backend systems, API development, enterprise architecture and mentoring. Expert in C#, .NET, ASP.NET, Web API, databases, Docker and cloud platforms including Azure and AWS.",.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS,10,Lead Software Developer,specialist,.net backend development,.net software development,,English;Russian,Programming in C#,Petah-Tikva,synthetic_C002_ai
R002_WEAK,C002,weakly_structured,Software Engineer,"Worked on enterprise systems, cloud services, service integration and infrastructure-related development. Participated in delivery, architecture discussions, API implementation and production support.",.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS,10,Software Engineer,specialist,software engineering,software engineering,,English;Russian,Programming in C#,Petah-Tikva,synthetic_C002_weak
R003_ORIG,C003,original,Data Analyst,"Data analyst with experience in SQL, Python, dashboards, reporting and business intelligence. Worked with analytics pipelines, visualization and KPI monitoring.",Python;SQL;BI;Analytics;Dashboards,4,Data Analyst,master,analytics,analytics,,English;Russian,,Tel Aviv,synthetic_C003_original
R003_ATS,C003,ats_optimized,Junior Python SQL Developer,"Junior Python SQL Developer with experience in Python, SQL, data processing, automation and reporting. Built scripts, data pipelines and dashboards for business reporting tasks.",Python;SQL;Automation;Reporting;Dashboards,4,Junior Python SQL Developer,master,analytics and automation,analytics,,English;Russian,,Tel Aviv,synthetic_C003_ats
R003_AI,C003,ai_assisted,Data Analyst / Python Specialist,"Data Analyst / Python Specialist with experience in SQL querying, analytics automation, reporting and business data processing. Comfortable with Python-based automation and dashboard development.",Python;SQL;Analytics;Automation;Dashboards,4,Data Analyst,master,analytics,analytics,,English;Russian,,Tel Aviv,synthetic_C003_ai
R003_WEAK,C003,weakly_structured,Specialist,"Worked on business tasks related to numbers, reports, indicators, support for teams and internal information handling.",Python;SQL;Analytics,4,Specialist,master,analytics,analytics,,English;Russian,,Tel Aviv,synthetic_C003_weak
