vacancy_id,resume_id,candidate_id,version_type,selection_bucket,auto_score,skill_overlap,text_overlap,exp_score,meta_score,vacancy_title,resume_title,last_position,vacancy_required_skills,resume_skills
V00001,R002_AI,C002,ai_assisted,top,0.516685,0.492308,0.016588,1.0,0.94,Software Developer - .Net,Lead .Net Developer,Lead Software Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS
V00001,R001_ATS,C001,ats_optimized,top,0.142748,0.0,0.006993,0.8,0.14,Software Developer - .Net,Backend Java Developer,Backend Java Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Java;Spring Boot;Spring Security;REST API;MySQL;MongoDB;SQL;HTML;CSS;JavaScript
V00001,R003_ATS,C003,ats_optimized,top,0.11337,0.0,0.009479,0.6,0.14,Software Developer - .Net,Junior Python SQL Developer,Junior Python SQL Developer,.NET;ASP.NET;C#;Entity Framework;MS SQL;Web API;jQuery,Python;SQL;Automation;Reporting;Dashboards
V00002,R002_WEAK,C002,weakly_structured,top,0.45196,0.73,0.013841,0.7,0.1,Remote Software Developer,Software Engineer,Software Engineer,PostgreSQL,.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS
V00002,R001_ORIG,C001,original,top,0.124325,0.0,0.017301,0.7,0.1,Remote Software Developer,Java Full Stack Developer,Backend Java Developer,PostgreSQL,Java;Spring Boot;Spring Security;MySQL;MongoDB;REST API;JavaScript;HTML;CSS
V00002,R003_WEAK,C003,weakly_structured,top,0.123484,0.0,0.013937,0.7,0.1,Remote Software Developer,Specialist,Specialist,PostgreSQL,Python;SQL;Analytics
V00003,R003_ATS,C003,ats_optimized,top,0.222595,0.0,0.041379,0.7,0.715,Junior Level Software Developer (1-4 years experience),Junior Python SQL Developer,Junior Python SQL Developer,,Python;SQL;Automation;Reporting;Dashboards
V00003,R001_AI,C001,ai_assisted,top,0.132494,0.0,0.025974,0.7,0.14,Junior Level Software Developer (1-4 years experience),Senior Java Backend Developer,Backend Java Developer,,Java;Spring Boot;Spring Security;REST API;SQL;MySQL;MongoDB;HTML;CSS;JavaScript
V00003,R002_ORIG,C002,original,top,0.127656,0.0,0.006623,0.7,0.14,Junior Level Software Developer (1-4 years experience),Senior .Net Developer,Senior Software Developer,,.NET;ASP.NET;Web API;C#;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS
V00004,R002_ATS,C002,ats_optimized,top,0.458415,0.79,0.021661,0.0,0.65,Backend Software Developer,Senior .Net Backend Developer,Senior Software Developer,AWS;Docker;PostgreSQL,.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS
V00004,R001_ATS,C001,ats_optimized,top,0.15722,0.0,0.028881,0.0,1.0,Backend Software Developer,Backend Java Developer,Backend Java Developer,AWS;Docker;PostgreSQL,Java;Spring Boot;Spring Security;REST API;MySQL;MongoDB;SQL;HTML;CSS;JavaScript
V00004,R003_ORIG,C003,original,top,0.010812,0.0,0.007246,0.0,0.06,Backend Software Developer,Data Analyst,Data Analyst,AWS;Docker;PostgreSQL,Python;SQL;BI;Analytics;Dashboards
V00005,R002_ATS,C002,ats_optimized,top,0.402024,0.73,0.024096,0.0,0.45,Software Developer,Senior .Net Backend Developer,Senior Software Developer,C#,.NET;C#;ASP.NET;Web API;MSSQL;PostgreSQL;MongoDB;Docker;Azure;AWS
V00005,R001_ATS,C001,ats_optimized,top,0.020952,0.0,0.02381,0.0,0.1,Software Developer,Backend Java Developer,Backend Java Developer,C#,Java;Spring Boot;Spring Security;REST API;MySQL;MongoDB;SQL;HTML;CSS;JavaScript
V00005,R003_WEAK,C003,weakly_structured,top,0.018067,0.0,0.01227,0.0,0.1,Software Developer,Specialist,Specialist,C#,Python;SQL;Analytics
